Comment,Designator,Footprint,JLCPCB Part #,Qty,Ext.Price($)
AP2112K-3.3LDO600mA,AP2112K,SOT-23-5,C23380830,1,0.11
Tactileswitch6mmB3U-1000P,"BOOT, RESET",B3U-1000P,C231329,2,0.39
4.7uF16VX5R0603,"C1, C3, C18, C34",C0603,C19666,4,0.04
100nF50VX7R0603,"C2, C4, C7, C8, C11, C13, C15, C19, C22, C25, C27",C0603,C14663,11,0.03
10uF16VX5R0603,"C5, C6, C9, C12, C14, C20, C35",C0603,C19702,7,0.06
1uF16VX7R0603,C10,C0603,C15849,1,0.01
22uF25VX5R1206(SamsungCL31A226KAHNNNE),"C16, C17, C30",C1206,C12891,3,0.17
1uF16VX7R0603,"C21, C23, C24, C26, C28, C29",C0603,C15849,6,0.05
100uF6.3VX5R1206(SamsungCL31A107MQHNNNE),"C31, C32, C33, C36",C1206,C15008,4,
SS14schottky1A40V,D1,SMA(DO-214AC),C2480,1,0.02
1N4148Wsignaldiode,"D2, D3",SOD-123,C81598,2,0.02
DW01ALiPoprotect,DW01A,SOT-23-6,C2927799,1,0.03
FFC30-pin0.5mmbottomcontact,EKRAN,Molex_5051103091,C2797216,1,0.12
Ferritebead600R@100MHz0603,F1,L0603,C1002,1,0.01
FFC24-pin0.5mmbottomcontact,KAMERA,Molex_5051102491,C2797213,1,0.10
Inductor22uH1.2AshieldedMWSA0402S,L1,L_4x4mm_H1.8,C15029,1,0.13
LED0603red,LED1,LED_0603,C2286,1,0.01
MCP73831T-2ACI/OT,MCP73831,SOT-23-5,C424093,1,0.75
MT3608boostconverter,MT3608,SOT-23-6,C84817,1,0.08
FS8205dualN-MOSFET,Q1,SOT-23-6,C908265,1,0.07
5.1k06031%,"R1, R2",R0603,C23186,2,0.00
1k06031%,"R3, R4",R0603,C21190,2,0.00
10k06031%,"R5, R6, R9, R14, R17, R18, R19",R0603,C25804,7,0.01
4.7k06031%,"R7, R8",R0603,C23162,2,0.00
470k06031%,R10,R0603,C23178,1,0.00
20k06031%,R11,R0603,C4184,1,0.00
680k06031%,R12,R0603,C25822,1,0.00
"51R06031%(Basic,was50R0.1%)",R13,R0603,C23197,1,0.00
100k06031%,"R15, R16",R0603,C25803,2,0.00
ESP32-S3-WROOM-1-N16R8,U1,"SMD,25.5x18mm",C2913202,1,
MCP23017-E/SO,U3,SOIC-28_7.5x17.9mm_P1.27mm,C47023,1,2.31
USB-C16-pinGCTUSB4110GFA,USB-C,USB-C_USB4110GFA,C5187472,1,0.08
XC6206P122MRLDO1.2V,XC6206P122MR,SOT-23-3,C424699,1,0.13
XC6206P282MRLDO2.8V,XC6206P282MR,SOT-23-3,C347374,1,0.02
